# Step Energy(kJ/mol) AcceptanceRatio R_ee R_g
    1620     0.736981E+24      0.2154      1.7076      1.2534
    1630     0.736906E+24      0.2153      1.5738      1.2446
    1640     0.736891E+24      0.2152      1.5384      1.2449
    1650     0.736890E+24      0.2152      1.6010      1.2506
    1660     0.736484E+24      0.2151      1.6165      1.2530
    1670     0.558415E+24      0.2150      1.6360      1.2513
    1680     0.534519E+24      0.2155      1.5495      1.2579
    1690     0.534519E+24      0.2142      1.5495      1.2579
    1700     0.529487E+24      0.2147      1.5538      1.2614
    1710     0.529487E+24      0.2135      1.5538      1.2614
    1720     0.529487E+24      0.2122      1.5538      1.2614
    1730     0.529481E+24      0.2127      1.5182      1.2681
    1740     0.529096E+24      0.2132      1.5855      1.2857
    1750     0.529094E+24      0.2126      1.7079      1.2933
    1760     0.528198E+24      0.2125      1.8185      1.2893
    1770     0.528197E+24      0.2119      1.8029      1.2926
    1780     0.482818E+24      0.2118      1.6921      1.2946
    1790     0.482818E+24      0.2112      1.6483      1.2939
    1800     0.482817E+24      0.2106      1.6820      1.3048
    1810     0.482329E+24      0.2105      1.7687      1.3072
    1820     0.482329E+24      0.2093      1.7687      1.3072
    1830     0.482328E+24      0.2093      1.8553      1.3122
    1840     0.482327E+24      0.2087      1.7249      1.3043
    1850     0.482327E+24      0.2076      1.7249      1.3043
    1860     0.381762E+24      0.2075      1.4838      1.2980
    1870     0.381762E+24      0.2064      1.4838      1.2980
    1880     0.381762E+24      0.2059      1.5664      1.3032
    1890     0.381037E+24      0.2053      1.6551      1.3001
    1900     0.381037E+24      0.2042      1.6551      1.3001
    1910     0.381036E+24      0.2042      1.6323      1.3119
    1920     0.381036E+24      0.2036      1.6419      1.3127
    1930     0.375669E+24      0.2041      1.6860      1.3120
    1940     0.375668E+24      0.2041      1.7908      1.3173
    1950     0.375668E+24      0.2036      1.8920      1.3210
    1960     0.375668E+24      0.2031      1.8930      1.3223
    1970     0.375668E+24      0.2020      1.8930      1.3223
    1980     0.375668E+24      0.2010      1.8930      1.3223
    1990     0.375668E+24      0.2000      1.8930      1.3223
    2000     0.375668E+24      0.1990      1.8930      1.3223
    2010     0.351753E+24      0.1990      1.8789      1.3253
    2020     0.344449E+24      0.1990      1.9020      1.3244
    2030     0.344449E+24      0.1985      1.9012      1.3248
    2040     0.344199E+24      0.1985      1.8396      1.3272
    2050     0.344199E+24      0.1980      1.8810      1.3280
    2060     0.344199E+24      0.1985      1.9851      1.3377
    2070     0.344199E+24      0.1981      1.9838      1.3379
    2080     0.341707E+24      0.1981      1.9911      1.3385
    2090     0.341707E+24      0.1971      1.9911      1.3385
    2100     0.341707E+24      0.1967      2.0729      1.3400
