x y z
0.040404 3.737374 -0.233616
0.040404 3.787879 -0.164385
0.040404 3.838384 -0.094734
0.040404 3.888889 -0.024841
0.040404 3.939394 0.045115
0.040404 3.989899 0.114955
0.040404 4.040404 0.184503
0.040404 4.090909 0.253580
0.040404 4.141414 0.322010
0.040404 4.191919 0.389620
0.040404 4.242424 0.456235
0.040404 4.292929 0.521687
0.040404 4.343434 0.585809
0.040404 4.393939 0.648437
0.040404 4.444444 0.709411
0.040404 4.494949 0.768576
0.040404 4.545455 0.825780
0.040404 4.595960 0.880879
0.040404 4.646465 0.933732
0.040404 4.696970 0.984203
0.040404 4.747475 1.032165
0.040404 4.797980 1.077494
0.040404 4.848485 1.120075
0.040404 4.898990 1.159800
0.040404 4.949495 1.196567
0.040404 5.000000 1.230283
0.060606 0.000000 0.939431
0.060606 0.050505 0.887853
0.060606 0.101010 0.834012
0.060606 0.151515 0.778043
0.060606 0.202020 0.720090
0.060606 0.252525 0.660301
0.060606 0.303030 0.598828
0.060606 0.353535 0.535828
0.060606 0.404040 0.471461
0.060606 0.454545 0.405892
0.060606 0.505051 0.339287
0.060606 0.555556 0.271818
0.060606 0.606061 0.203655
0.060606 0.656566 0.134973
0.060606 0.707071 0.065947
0.060606 0.757576 -0.003247
0.060606 0.808081 -0.072433
0.060606 0.858586 -0.141435
0.060606 0.909091 -0.210076
0.060606 0.959596 -0.278181
0.060606 1.010101 -0.345576
0.060606 1.060606 -0.412090
0.060606 1.111111 -0.477554
0.060606 1.161616 -0.541799
0.060606 1.212121 -0.604663
0.060606 1.262626 -0.665985
0.060606 1.313131 -0.725608
0.060606 1.363636 -0.783381
0.060606 1.414141 -0.839156
0.060606 1.464646 -0.892791
0.060606 1.515152 -0.944149
0.060606 1.565657 -0.993100
0.060606 1.616162 -1.039518
0.060606 1.666667 -1.083284
0.060606 1.717172 -1.124289
0.060606 1.767677 -1.162426
0.060606 1.818182 -1.197598
0.060606 1.868687 -1.229717
0.060606 1.919192 -1.258699
0.060606 1.969697 -1.284472
0.060606 2.020202 -1.306969
0.060606 2.070707 -1.326132
0.060606 2.121212 -1.341914
0.060606 2.171717 -1.354274
0.060606 2.222222 -1.363180
0.060606 2.272727 -1.368609
0.060606 2.323232 -1.370549
0.060606 2.373737 -1.368993
0.060606 2.424242 -1.363945
0.060606 2.474747 -1.355420
0.060606 2.525253 -1.343438
0.060606 2.575758 -1.328030
0.060606 2.626263 -1.309235
0.060606 2.676768 -1.287101
0.060606 2.727273 -1.261685
0.060606 2.777778 -1.233051
0.060606 2.828283 -1.201273
0.060606 2.878788 -1.166431
0.060606 2.929293 -1.128615
0.060606 2.979798 -1.087920
0.060606 3.030303 -1.044451
0.060606 3.080808 -0.998318
0.060606 3.131313 -0.949640
0.060606 3.181818 -0.898539
0.060606 3.232323 -0.845147
0.060606 3.282828 -0.789600
0.060606 3.333333 -0.732039
0.060606 3.383838 -0.672612
0.060606 3.434343 -0.611469
0.060606 3.484848 -0.548766
0.060606 3.535354 -0.484664
0.060606 3.585859 -0.419327
0.060606 3.636364 -0.352919
0.060606 3.686869 -0.285612
0.060606 3.737374 -0.217577
0.060606 3.787879 -0.148986
0.060606 3.838384 -0.080016
0.060606 3.888889 -0.010841
0.060606 3.939394 0.058361
0.060606 3.989899 0.127414
0.060606 4.040404 0.196143
0.060606 4.090909 0.264371
0.060606 4.141414 0.331925
0.060606 4.191919 0.398632
0.060606 4.242424 0.464323
0.060606 4.292929 0.528830
0.060606 4.343434 0.591988
0.060606 4.393939 0.653636
0.060606 4.444444 0.713618
0.060606 4.494949 0.771779
0.060606 4.545455 0.827973
0.060606 4.595960 0.882055
0.060606 4.646465 0.933887
0.060606 4.696970 0.983338
